127.0.0.1 - - [09/Mar/2024:19:53:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:53:57 +0900] "GET /smoking/ HTTP/1.1" 200 5921
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:53:58 +0900] "GET /NoSmoking/img/%EA%B4%91%EA%B3%A02.jpeg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:53:58 +0900] "GET /smoking/resources/js/member/insertMember/insertMember.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:53:58 +0900] "GET /smoking/resources/js/member/insertMember/insertMemberAjax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:53:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:01 +0900] "POST /smoking/noSmokingcount.me HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:01 +0900] "POST /smoking/productRefesh.pr HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:06 +0900] "GET /smoking/main.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:06 +0900] "GET /smoking/ HTTP/1.1" 200 5921
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:06 +0900] "GET /NoSmoking/img/%EA%B4%91%EA%B3%A02.jpeg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:06 +0900] "POST /smoking/productRefesh.pr HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:06 +0900] "POST /smoking/noSmokingcount.me HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:09 +0900] "GET /smoking/searchHospital.ho HTTP/1.1" 200 4223
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:10 +0900] "GET /smoking/video.vi HTTP/1.1" 200 7657
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:10 +0900] "GET /smoking/resources/css/video/videoList.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:10 +0900] "GET /smoking/resources/js/video/videoList/video.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:10 +0900] "GET /smoking/resources/js/video/videoList/videoAjax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:12 +0900] "GET /smoking/productList.pr HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:14 +0900] "GET /smoking/writer.me HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:15 +0900] "GET /smoking/main.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:15 +0900] "GET /smoking/ HTTP/1.1" 200 5921
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:15 +0900] "GET /NoSmoking/img/%EA%B4%91%EA%B3%A02.jpeg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:15 +0900] "POST /smoking/noSmokingcount.me HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:54:15 +0900] "POST /smoking/productRefesh.pr HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:55:15 +0900] "GET /smoking/searchHospital.ho HTTP/1.1" 200 4223
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:55:16 +0900] "GET /smoking/video.vi HTTP/1.1" 200 7657
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:55:17 +0900] "GET /smoking/productList.pr HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [09/Mar/2024:19:55:18 +0900] "GET /smoking/writer.me HTTP/1.1" 200 4038
